component_id,lot_code,checkpoint_hours,leakage_current,unit
CMP-701,LOT-DEMO-IMPORT,0,10.4,µA
CMP-701,LOT-DEMO-IMPORT,24,10.9,µA
CMP-701,LOT-DEMO-IMPORT,48,11.2,µA
CMP-701,LOT-DEMO-IMPORT,96,11.8,µA
CMP-701,LOT-DEMO-IMPORT,168,12.6,µA
CMP-702,LOT-DEMO-IMPORT,0,10.1,µA
CMP-702,LOT-DEMO-IMPORT,24,10.2,µA
CMP-702,LOT-DEMO-IMPORT,48,10.2,µA
CMP-702,LOT-DEMO-IMPORT,96,10.3,µA
CMP-702,LOT-DEMO-IMPORT,168,10.4,µA
CMP-703,LOT-DEMO-IMPORT,0,9.8,µA
CMP-703,LOT-DEMO-IMPORT,24,9.9,µA
CMP-703,LOT-DEMO-IMPORT,48,10.0,µA
CMP-703,LOT-DEMO-IMPORT,96,10.1,µA
CMP-703,LOT-DEMO-IMPORT,168,10.2,µA
CMP-704,LOT-DEMO-IMPORT,0,10.6,µA
CMP-704,LOT-DEMO-IMPORT,24,12.0,µA
CMP-704,LOT-DEMO-IMPORT,48,14.5,µA
CMP-704,LOT-DEMO-IMPORT,96,19.0,µA
CMP-704,LOT-DEMO-IMPORT,168,28.0,µA
CMP-705,LOT-DEMO-IMPORT,0,10.2,µA
CMP-705,LOT-DEMO-IMPORT,24,10.5,µA
CMP-705,LOT-DEMO-IMPORT,48,10.7,µA
CMP-705,LOT-DEMO-IMPORT,96,11.0,µA
CMP-705,LOT-DEMO-IMPORT,168,11.4,µA
